ID_merimeeLabel,item,itemLabel,itemDescription,proprietaireLabel,occupantLabel,naissance_dedansLabel,img,coordonnées,paysLabel,type_maison,type_maisonLabel
PA00115982,http://www.wikidata.org/entity/Q3280240,maison de Camille et Paul Claudel,maison à Villeneuve-sur-Fère (Aisne),,,,http://commons.wikimedia.org/wiki/Special:FilePath/Maison%20natale%20de%20Paul%20Claudel.JPG,,France,http://www.wikidata.org/entity/Q3947,maison
MI176,http://www.wikidata.org/entity/Q3280244,maison natale de Victor Hugo,appartement où est né Victor Hugo,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Maison%20natale%20Victor%20Hugo%200002.jpg,,France,http://www.wikidata.org/entity/Q19979289,maison natale
PA00101544,http://www.wikidata.org/entity/Q3280244,maison natale de Victor Hugo,appartement où est né Victor Hugo,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Maison%20natale%20Victor%20Hugo%200002.jpg,,France,http://www.wikidata.org/entity/Q19979289,maison natale
MI142,http://www.wikidata.org/entity/Q3280291,maison « Le Paraïs »,maison à Manosque (Alpes-de-Haute-Provence),,,,http://commons.wikimedia.org/wiki/Special:FilePath/Maison%20Para%C3%AFs%20Manosque%203.jpg,,France,http://www.wikidata.org/entity/Q3947,maison
PA04000006,http://www.wikidata.org/entity/Q3280291,maison « Le Paraïs »,maison à Manosque (Alpes-de-Haute-Provence),,,,http://commons.wikimedia.org/wiki/Special:FilePath/Maison%20Para%C3%AFs%20Manosque%203.jpg,,France,http://www.wikidata.org/entity/Q3947,maison
MI020,http://www.wikidata.org/entity/Q3280344,maisons Satie,musée français,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Maisons%20Satie%202007.jpg,,France,http://www.wikidata.org/entity/Q19979289,maison natale
PA00111840,http://www.wikidata.org/entity/Q3280344,maisons Satie,musée français,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Maisons%20Satie%202007.jpg,,France,http://www.wikidata.org/entity/Q19979289,maison natale
MI020,http://www.wikidata.org/entity/Q3280344,maisons Satie,musée français,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Maisons%20Satie%202007.jpg,,France,http://www.wikidata.org/entity/Q33506,musée
PA00111840,http://www.wikidata.org/entity/Q3280344,maisons Satie,musée français,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Maisons%20Satie%202007.jpg,,France,http://www.wikidata.org/entity/Q33506,musée
MI200,http://www.wikidata.org/entity/Q3286133,manoir d'Ango,manoir à Varengeville-sur-Mer (Seine-Maritime),Jean Ango,,,http://commons.wikimedia.org/wiki/Special:FilePath/Manoir%20d%27Ango%20duiventoren%2018-08-2013%2013-39-57.JPG,,France,http://www.wikidata.org/entity/Q879050,manoir
PA00101079,http://www.wikidata.org/entity/Q3286133,manoir d'Ango,manoir à Varengeville-sur-Mer (Seine-Maritime),Jean Ango,,,http://commons.wikimedia.org/wiki/Special:FilePath/Manoir%20d%27Ango%20duiventoren%2018-08-2013%2013-39-57.JPG,,France,http://www.wikidata.org/entity/Q879050,manoir
PA00087622,http://www.wikidata.org/entity/Q19387976,maison Claude Debussy,maison à Saint-Germain-en-Laye (Yvelines),,,,http://commons.wikimedia.org/wiki/Special:FilePath/Saint-Germain-en-Laye%20Maison%20Claude%20Debussy%202011%2001.jpg,,France,http://www.wikidata.org/entity/Q19979289,maison natale
MI182,http://www.wikidata.org/entity/Q19387976,maison Claude Debussy,maison à Saint-Germain-en-Laye (Yvelines),,,,http://commons.wikimedia.org/wiki/Special:FilePath/Saint-Germain-en-Laye%20Maison%20Claude%20Debussy%202011%2001.jpg,,France,http://www.wikidata.org/entity/Q33506,musée
